komoditas_buah,rata_rata_konsumsi,median_konsumsi,total_wilayah,ranking,target_scanora,prioritas_pengembangan
Pisang,0.1575367217898833,0.152,514,1,True,Target awal Scanora
Rambutan,0.09293579766536965,0.0715,514,2,False,Kandidat pengembangan berikutnya
Pepaya,0.06908171206225681,0.065,514,3,False,Kandidat pengembangan berikutnya
Jeruk,0.05549610894941634,0.05,514,4,True,Target awal Scanora
Semangka,0.04739348249027237,0.043,514,5,False,Kandidat pengembangan berikutnya
Duku. langsat,0.037422178988326844,0.024,514,6,False,Kandidat pengembangan berikutnya
Salak,0.029591439688715956,0.025,514,7,False,Kandidat pengembangan berikutnya
Durian,0.02872373540856031,0.019,514,8,False,Kandidat pengembangan berikutnya
Alpokat,0.020556420233463036,0.015,514,9,False,Kandidat pengembangan berikutnya
Buah naga,0.01790661478599222,0.014,514,10,False,Kandidat pengembangan berikutnya
Apel,0.014200875486381322,0.013,514,11,True,Target awal Scanora
Mangga,0.013085603112840467,0.008,514,12,False,Bukan prioritas utama
Buahbuahan lainnya,0.011633268482490272,0.008,514,13,False,Bukan prioritas utama
Pir,0.011596303501945524,0.01,514,14,False,Bukan prioritas utama
Nanas,0.00960408560311284,0.007,514,15,False,Bukan prioritas utama
Tomat buah,0.009561284046692608,0.003,514,16,False,Bukan prioritas utama
Jambu biji,0.006294747081712062,0.005,514,17,False,Bukan prioritas utama
Kelengkeng,0.006060311284046693,0.005,514,18,False,Bukan prioritas utama
Anggur,0.0060457198443579765,0.005,514,19,False,Bukan prioritas utama
Nangka,0.004336575875486382,0.004,514,20,False,Bukan prioritas utama
Jambu air,0.003957198443579766,0.003,514,21,False,Bukan prioritas utama
